ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
poseidon-group,8%,8%,12%,4%,14%,5%,0%,0%,5%,11%,5%,0%,0%,0%,13%,13%,7%,7%,7%,7%,7%,8%,8%,0%,25%,0%,10%,10%,10%,11%,0%,22%,13%,13%,0%,0%,0%,0%,0%,0%,0%,43%,33%,0%,0%,0%,0%,20%,0%,0%,20%,0%,0%,0%,0%,0%,-,0%,0%,0%,33%,0%,0%,0%,33%,33%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gorgon-group,8%,8%,16%,8%,9%,9%,19%,10%,11%,16%,16%,6%,0%,13%,13%,7%,14%,14%,14%,14%,7%,15%,8%,17%,0%,27%,0%,10%,20%,0%,11%,22%,25%,13%,13%,13%,25%,0%,29%,0%,29%,0%,0%,0%,17%,0%,17%,0%,20%,0%,40%,20%,0%,0%,25%,25%,0%,-,0%,0%,0%,67%,0%,0%,0%,0%,33%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gold-southfield,0%,8%,0%,0%,5%,9%,0%,5%,5%,0%,5%,6%,0%,7%,0%,0%,7%,7%,0%,0%,7%,0%,17%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,17%,17%,0%,0%,40%,0%,0%,0%,20%,0%,0%,0%,0%,-,33%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
temp.veles,4%,4%,0%,4%,9%,9%,0%,10%,5%,0%,11%,13%,6%,20%,0%,0%,7%,7%,0%,0%,7%,0%,17%,0%,8%,18%,0%,10%,0%,0%,0%,0%,13%,0%,0%,25%,0%,0%,14%,14%,29%,0%,0%,0%,17%,33%,33%,0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,25%,-,33%,0%,33%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
suckfly,8%,8%,0%,0%,9%,9%,0%,5%,5%,5%,11%,6%,13%,7%,7%,0%,14%,7%,0%,0%,21%,0%,8%,0%,0%,9%,0%,0%,0%,0%,11%,0%,25%,0%,0%,13%,0%,0%,14%,14%,14%,0%,0%,17%,0%,17%,17%,20%,0%,20%,0%,0%,0%,0%,0%,0%,25%,0%,0%,33%,-,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
sharpshooter,8%,4%,12%,4%,5%,9%,10%,5%,5%,11%,5%,0%,0%,7%,7%,7%,7%,7%,7%,7%,7%,23%,8%,8%,0%,27%,0%,10%,10%,0%,22%,11%,13%,0%,0%,13%,0%,14%,14%,0%,29%,0%,0%,0%,17%,0%,17%,0%,40%,0%,20%,20%,0%,0%,25%,25%,0%,50%,0%,0%,0%,-,0%,0%,0%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin10,8%,4%,4%,4%,9%,9%,5%,10%,5%,5%,5%,19%,6%,7%,7%,7%,7%,0%,7%,0%,14%,8%,17%,8%,0%,9%,10%,10%,0%,0%,0%,0%,13%,0%,0%,13%,13%,0%,14%,0%,14%,0%,0%,0%,0%,17%,17%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dust-storm,8%,12%,12%,13%,5%,9%,14%,10%,16%,11%,11%,6%,13%,7%,13%,20%,14%,7%,14%,14%,7%,15%,17%,25%,17%,9%,10%,20%,30%,33%,11%,0%,13%,13%,13%,13%,13%,29%,14%,0%,14%,14%,17%,33%,17%,0%,33%,20%,0%,20%,20%,20%,60%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
deep-panda,8%,4%,8%,8%,9%,5%,0%,5%,16%,5%,11%,13%,13%,7%,13%,13%,14%,14%,14%,7%,7%,8%,17%,0%,17%,9%,20%,10%,10%,11%,0%,11%,13%,13%,13%,0%,0%,0%,29%,0%,14%,14%,0%,17%,0%,17%,0%,0%,0%,0%,20%,0%,0%,20%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
axiom,4%,8%,0%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%,0%,7%,0%,0%,7%,0%,0%,14%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,20%,0%,0%,0%,20%,0%,0%,25%,0%,25%,0%,33%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
