ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt19,25%,18%,19%,10%,19%,20%,14%,14%,26%,23%,28%,20%,24%,17%,17%,22%,30%,18%,9%,27%,23%,35%,25%,25%,16%,33%,28%,18%,25%,31%,13%,7%,8%,31%,38%,31%,31%,50%,36%,18%,45%,27%,-,30%,40%,0%,30%,10%,11%,11%,38%,0%,43%,29%,43%,43%,33%,33%,33%,50%,33%,33%,40%,40%,60%,60%,60%,60%,40%,40%,40%,25%,75%,75%,0%,25%,50%,0%,100%,0%,50%,0%,0%,33%,33%,0%,0%,50%,0%,50%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
promethium,15%,10%,3%,10%,16%,13%,3%,3%,11%,19%,12%,12%,8%,17%,8%,9%,13%,9%,9%,9%,14%,25%,10%,15%,11%,11%,28%,6%,25%,13%,0%,7%,8%,15%,15%,15%,15%,17%,18%,27%,18%,9%,27%,-,30%,0%,10%,0%,0%,11%,38%,14%,14%,29%,0%,29%,33%,17%,17%,17%,50%,17%,20%,0%,40%,40%,20%,20%,20%,20%,40%,50%,0%,25%,25%,25%,25%,0%,25%,0%,25%,0%,0%,0%,33%,0%,0%,0%,50%,0%,0%,0%,50%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
molerats,20%,13%,13%,6%,23%,13%,21%,21%,22%,35%,20%,24%,12%,29%,25%,9%,35%,14%,5%,36%,23%,15%,45%,40%,5%,39%,39%,29%,44%,25%,7%,13%,8%,38%,31%,8%,38%,50%,45%,27%,45%,45%,36%,30%,-,20%,40%,0%,22%,11%,50%,29%,43%,29%,14%,29%,33%,67%,33%,33%,0%,17%,40%,40%,80%,60%,40%,60%,80%,80%,60%,25%,50%,100%,0%,25%,100%,0%,75%,0%,50%,0%,0%,0%,33%,0%,0%,50%,50%,0%,0%,0%,50%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
leafminer,5%,5%,9%,3%,0%,7%,0%,17%,19%,4%,4%,8%,16%,13%,13%,9%,4%,5%,0%,27%,0%,0%,15%,5%,16%,11%,6%,6%,13%,13%,7%,13%,8%,8%,0%,8%,8%,8%,0%,0%,0%,9%,0%,0%,20%,-,0%,0%,0%,0%,0%,43%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
frankenstein,15%,15%,16%,10%,19%,13%,17%,17%,26%,27%,28%,16%,12%,21%,21%,9%,30%,23%,5%,27%,18%,20%,25%,25%,5%,28%,33%,35%,38%,19%,20%,13%,15%,15%,38%,23%,31%,42%,27%,18%,45%,27%,27%,10%,40%,0%,-,10%,0%,22%,50%,0%,71%,43%,14%,29%,50%,33%,33%,17%,0%,17%,60%,60%,60%,40%,60%,60%,40%,40%,80%,25%,50%,100%,25%,25%,50%,0%,75%,0%,50%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt38,13%,15%,16%,10%,10%,17%,7%,14%,7%,12%,12%,12%,16%,8%,13%,17%,13%,14%,14%,5%,9%,15%,15%,5%,16%,22%,6%,18%,13%,25%,13%,7%,8%,15%,23%,8%,23%,8%,9%,18%,9%,27%,9%,0%,0%,0%,10%,-,22%,0%,25%,14%,29%,29%,0%,43%,17%,0%,17%,0%,0%,50%,40%,20%,0%,0%,0%,0%,20%,0%,0%,0%,25%,0%,50%,0%,0%,50%,0%,0%,0%,33%,0%,33%,0%,0%,0%,0%,50%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
night-dragon,10%,8%,9%,13%,16%,3%,17%,10%,4%,12%,8%,16%,4%,8%,13%,13%,13%,9%,14%,14%,9%,5%,20%,10%,11%,11%,6%,18%,0%,6%,20%,13%,0%,15%,15%,0%,8%,8%,27%,0%,9%,27%,9%,0%,20%,0%,0%,20%,-,0%,0%,14%,14%,0%,0%,29%,0%,33%,0%,0%,0%,17%,20%,20%,0%,0%,0%,0%,60%,40%,0%,0%,25%,0%,0%,0%,50%,0%,0%,25%,0%,0%,0%,33%,33%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
chimera,10%,8%,3%,13%,19%,17%,14%,14%,15%,15%,20%,24%,20%,21%,21%,4%,13%,27%,5%,14%,9%,5%,5%,10%,16%,11%,11%,29%,25%,13%,20%,20%,31%,8%,8%,38%,0%,8%,9%,0%,9%,0%,9%,10%,10%,0%,20%,0%,0%,-,0%,14%,14%,43%,29%,0%,17%,0%,0%,33%,17%,0%,0%,40%,0%,0%,0%,40%,0%,0%,20%,25%,25%,25%,50%,75%,0%,0%,25%,0%,0%,33%,0%,0%,0%,0%,33%,50%,0%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
darkhotel,13%,15%,13%,6%,19%,17%,14%,14%,19%,23%,16%,20%,12%,21%,21%,13%,22%,18%,9%,14%,18%,25%,20%,30%,16%,28%,28%,24%,31%,19%,7%,13%,0%,23%,31%,8%,31%,25%,27%,27%,45%,27%,27%,30%,40%,0%,40%,20%,0%,0%,-,14%,43%,29%,0%,43%,50%,33%,50%,17%,0%,33%,60%,0%,60%,60%,60%,40%,40%,40%,40%,25%,0%,50%,50%,0%,50%,0%,50%,0%,50%,33%,0%,0%,33%,0%,0%,0%,100%,0%,50%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
stolen-pencil,10%,8%,9%,0%,6%,10%,3%,21%,11%,12%,4%,16%,20%,13%,8%,9%,9%,9%,0%,18%,5%,5%,15%,15%,11%,22%,0%,18%,13%,19%,7%,20%,15%,23%,0%,15%,8%,8%,9%,0%,0%,18%,0%,10%,20%,30%,0%,10%,11%,11%,13%,-,0%,29%,0%,0%,0%,17%,33%,0%,0%,0%,0%,20%,0%,0%,0%,0%,20%,20%,0%,25%,0%,0%,25%,0%,25%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
