ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt29,8%,5%,6%,6%,10%,7%,3%,10%,11%,12%,16%,16%,8%,13%,17%,4%,13%,14%,5%,14%,-,5%,10%,10%,0%,11%,17%,18%,19%,6%,13%,0%,15%,8%,15%,15%,8%,17%,27%,0%,18%,9%,18%,10%,20%,0%,30%,0%,0%,22%,13%,0%,29%,29%,14%,14%,17%,17%,17%,17%,0%,0%,20%,40%,20%,20%,20%,40%,20%,20%,40%,25%,25%,50%,0%,25%,25%,0%,50%,0%,25%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
tropic-trooper,5%,5%,6%,3%,6%,3%,3%,7%,7%,8%,8%,4%,4%,8%,8%,4%,9%,9%,0%,5%,5%,-,10%,10%,5%,11%,11%,12%,13%,6%,7%,7%,0%,0%,15%,8%,15%,8%,9%,9%,18%,9%,9%,10%,10%,0%,20%,10%,0%,0%,25%,0%,29%,14%,0%,29%,33%,17%,17%,0%,0%,17%,20%,0%,20%,20%,20%,20%,20%,20%,20%,25%,0%,25%,25%,0%,25%,0%,25%,0%,25%,33%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ta505,15%,10%,13%,6%,13%,7%,14%,14%,19%,23%,16%,12%,8%,17%,17%,9%,30%,14%,0%,18%,9%,10%,-,25%,5%,22%,33%,24%,31%,13%,13%,7%,8%,8%,23%,15%,31%,25%,18%,18%,36%,27%,18%,10%,50%,10%,40%,10%,11%,11%,25%,0%,43%,29%,14%,29%,33%,33%,17%,17%,0%,17%,20%,20%,60%,20%,20%,60%,40%,40%,40%,25%,50%,75%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
leviathan,13%,10%,9%,6%,13%,7%,14%,14%,15%,19%,16%,12%,8%,13%,17%,9%,22%,14%,0%,18%,9%,10%,25%,-,5%,22%,22%,24%,25%,13%,13%,7%,8%,8%,23%,15%,23%,25%,18%,18%,36%,27%,18%,10%,40%,0%,40%,10%,11%,11%,25%,0%,43%,29%,14%,29%,33%,33%,17%,17%,0%,17%,20%,20%,40%,20%,20%,40%,40%,40%,40%,25%,50%,75%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ke3chang,5%,3%,3%,3%,6%,7%,3%,3%,4%,4%,4%,4%,4%,8%,4%,4%,4%,5%,0%,0%,0%,5%,5%,5%,-,6%,6%,6%,13%,0%,7%,7%,0%,0%,8%,15%,8%,0%,0%,18%,9%,0%,0%,0%,0%,0%,10%,10%,0%,0%,13%,0%,14%,14%,0%,14%,17%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
magic-hound,10%,10%,9%,6%,10%,7%,10%,10%,15%,15%,16%,8%,8%,13%,13%,9%,17%,14%,0%,14%,9%,10%,20%,20%,5%,-,22%,18%,25%,13%,13%,7%,8%,8%,23%,15%,23%,25%,9%,18%,36%,18%,18%,10%,30%,0%,40%,10%,0%,11%,25%,0%,43%,29%,14%,29%,33%,17%,17%,17%,0%,17%,20%,20%,40%,20%,20%,40%,20%,20%,40%,25%,50%,75%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin7,15%,10%,13%,10%,13%,10%,10%,14%,22%,23%,20%,12%,12%,21%,17%,9%,30%,18%,0%,18%,14%,10%,30%,20%,5%,22%,-,24%,38%,13%,20%,7%,15%,8%,31%,23%,31%,25%,18%,18%,36%,18%,18%,10%,40%,10%,50%,10%,0%,22%,25%,0%,57%,43%,14%,29%,33%,17%,17%,17%,0%,17%,20%,40%,60%,20%,20%,60%,20%,20%,60%,25%,50%,75%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin8,13%,8%,9%,10%,16%,10%,10%,17%,15%,19%,16%,16%,12%,17%,21%,9%,22%,18%,0%,18%,14%,10%,20%,20%,5%,17%,22%,-,25%,6%,20%,7%,15%,8%,23%,23%,15%,17%,27%,9%,27%,18%,18%,10%,30%,0%,40%,10%,11%,22%,25%,0%,43%,43%,14%,29%,33%,33%,17%,17%,0%,17%,20%,40%,20%,20%,20%,40%,40%,40%,40%,25%,25%,50%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
silence,18%,10%,9%,10%,16%,13%,10%,14%,19%,19%,20%,16%,12%,25%,17%,9%,26%,18%,0%,18%,14%,10%,25%,20%,11%,22%,33%,24%,-,13%,20%,7%,15%,8%,31%,31%,23%,25%,18%,27%,36%,18%,18%,10%,40%,10%,50%,10%,0%,22%,25%,0%,57%,43%,14%,29%,33%,17%,17%,17%,0%,17%,20%,40%,40%,20%,20%,40%,20%,20%,60%,25%,50%,75%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
sandworm-team,5%,5%,3%,0%,3%,0%,3%,3%,7%,8%,8%,4%,0%,4%,4%,0%,9%,5%,0%,9%,5%,5%,10%,10%,0%,11%,11%,6%,13%,-,0%,0%,0%,0%,15%,0%,15%,17%,9%,9%,18%,18%,9%,10%,20%,0%,20%,0%,0%,0%,13%,0%,29%,0%,0%,14%,17%,17%,17%,0%,0%,0%,20%,0%,40%,20%,20%,20%,20%,20%,40%,25%,25%,50%,0%,0%,25%,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
soft-cell,8%,5%,6%,10%,10%,10%,7%,10%,11%,12%,12%,8%,12%,13%,13%,9%,13%,14%,0%,9%,9%,5%,10%,10%,5%,11%,17%,18%,19%,0%,-,7%,15%,8%,15%,23%,8%,8%,9%,9%,18%,0%,9%,0%,10%,0%,30%,10%,0%,22%,13%,0%,29%,43%,14%,14%,17%,0%,0%,17%,0%,17%,0%,40%,0%,0%,0%,20%,0%,0%,20%,0%,25%,25%,25%,25%,0%,0%,25%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt1,3%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%,0%,4%,4%,4%,4%,4%,5%,0%,0%,0%,5%,5%,5%,5%,6%,6%,6%,6%,0%,7%,-,0%,0%,8%,8%,8%,0%,0%,9%,9%,0%,0%,0%,0%,0%,10%,10%,0%,0%,13%,0%,14%,14%,0%,14%,17%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
temp.veles,5%,3%,3%,6%,6%,7%,3%,7%,7%,8%,8%,8%,8%,8%,8%,4%,9%,9%,0%,9%,9%,0%,5%,5%,0%,6%,11%,12%,13%,0%,13%,0%,-,8%,8%,15%,0%,8%,9%,0%,9%,0%,9%,0%,10%,0%,20%,0%,0%,22%,0%,0%,14%,29%,14%,0%,0%,0%,0%,17%,0%,0%,0%,40%,0%,0%,0%,20%,0%,0%,20%,0%,25%,25%,0%,25%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
kimsuky,3%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,5%,0%,5%,5%,0%,5%,5%,0%,6%,6%,6%,6%,0%,7%,0%,8%,-,0%,8%,0%,8%,0%,0%,9%,0%,9%,0%,10%,0%,10%,0%,0%,11%,0%,0%,0%,14%,14%,0%,0%,0%,0%,17%,0%,0%,0%,20%,0%,0%,0%,20%,0%,0%,0%,0%,25%,25%,0%,25%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gamaredon-group,10%,8%,6%,6%,10%,7%,7%,10%,19%,15%,16%,8%,8%,13%,13%,4%,17%,14%,0%,14%,9%,10%,15%,15%,5%,17%,22%,18%,25%,13%,13%,7%,8%,0%,-,15%,23%,17%,18%,18%,27%,18%,9%,10%,20%,0%,40%,10%,0%,11%,25%,0%,57%,29%,0%,29%,33%,17%,17%,0%,0%,17%,20%,20%,40%,20%,20%,20%,20%,20%,60%,25%,25%,50%,25%,0%,25%,0%,25%,0%,25%,33%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
blue-mockingbird,10%,5%,6%,10%,13%,13%,7%,10%,11%,12%,12%,12%,12%,17%,13%,9%,13%,14%,0%,9%,9%,5%,10%,10%,11%,11%,17%,18%,25%,0%,20%,7%,15%,8%,15%,-,8%,8%,9%,18%,18%,0%,9%,0%,10%,0%,30%,10%,0%,22%,13%,0%,29%,43%,14%,14%,17%,0%,0%,17%,0%,17%,0%,40%,0%,0%,0%,20%,0%,0%,20%,0%,25%,25%,25%,25%,0%,0%,25%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
